"ID","Title","Assigned To","Case ID","Comment","Cucumber feature","Defects","Elapsed","Estimate","In Progress","Is this test automatable?","Nightwatch feature","Number of Features (Complexity)","Owner","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Status","Summary","Tags","Tested By","Tested On","Version"
"T4470528","I can navigate to a CZ dashboard","","C4930754","","","","6s","","","Y","collection-zone.feature"," 1","","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1212","Collection Zones","","R15069","Collection Zones","0","","Draft","Passed","Feature: Collection Zone page
This scenario asserts that a user can go to a CZ, find a device, follow a link to smartview for the device, go back to the CZ, go to the device components, and follow a link to smartview a component.

I can navigate to a CZ dashboard","","Automation User","3/29/2019 5:30 PM",""
"T4470529","I can search for a device in CZ","","C4939823","","","","11s","","","Y","collection-zone.feature"," 1","","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1213","Collection Zones","","R15069","Collection Zones","0","","Draft","Passed","Feature: Collection Zone page
This scenario asserts that a user can go to a CZ, find a device, follow a link to smartview for the device, go back to the CZ, go to the device components, and follow a link to smartview a component.

I can search for a device in CZ","","Automation User","3/29/2019 5:30 PM",""
"T4470530","I can view components for a given device","","C4948864","","","","13s","","","Y","collection-zone.feature"," 1","","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1214","Collection Zones","","R15069","Collection Zones","0","","Draft","Passed","Feature: Collection Zone page
This scenario asserts that a user can go to a CZ, find a device, follow a link to smartview for the device, go back to the CZ, go to the device components, and follow a link to smartview a component.

I can view components for a given device","","Automation User","3/29/2019 5:30 PM",""
"T4470531","I can find a device in CZ and see a smartview for it","","C4952236","","","","46s","","","Y","collection-zone.feature"," 1","","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1215","Collection Zones","","R15069","Collection Zones","0","","Draft","Passed","Feature: Collection Zone page
This scenario asserts that a user can go to a CZ, find a device, follow a link to smartview for the device, go back to the CZ, go to the device components, and follow a link to smartview a component.

I can find a device in CZ and see a smartview for it","","Automation User","3/29/2019 5:31 PM",""
"T4470532","Verify that Collection Zones display the Added timestamp","","C4227660","","","","1s","","","Y","collection-zone.feature"," 1","Daniel Martinez","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1816","Collection Zones","","R15069","Collection Zones","0","","Draft","Passed","Feature: Collection Zone page
This scenario asserts that a user can go to a CZ, find a device, follow a link to smartview for the device, go back to the CZ, go to the device components, and follow a link to smartview a component.

Verify that Collection Zones display the Added timestamp","","Automation User","3/29/2019 5:31 PM",""
"T4470533","Verify that Collection Zones display their Explore icon","","C4227662","","","","1s","","","Y","collection-zone.feature"," 1","Daniel Martinez","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1818","Collection Zones","","R15069","Collection Zones","0","","Draft","Passed","Feature: Collection Zone page
This scenario asserts that a user can go to a CZ, find a device, follow a link to smartview for the device, go back to the CZ, go to the device components, and follow a link to smartview a component.

Verify that Collection Zones display their Explore icon","","Automation User","3/29/2019 5:31 PM",""
"T4479104","Verify that Collection Zones display a Valid Name","","C4227661","","","","1s","","","Y","collection-zone.feature"," 1","Daniel Martinez","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1817","Collection Zones","","R15069","Collection Zones","0","","Draft","Passed","This TC verifies that the Collection Zone displays a valid name

","","Automation User","3/29/2019 5:31 PM",""
"T4506520","Verify browser back button work navigating back to CZ from Smart View","","C5665576","Error: Verify the device detail name for 'testrail.zenoss.loc' on Collection Zone. - Expected ""found"" but got: ""not found""","","","32s","","","Y","collection-zone.feature"," 1","Daniel Martinez","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-626","Collection Zones","","R15069","Collection Zones","0","","Draft","Failed","This TC verifies that navigating from a device page back to the Smart View will redirect to the exact device it originated from","","Automation User","3/29/2019 5:32 PM",""
"T4470534","Verify that a User is able to open the 'Help and Information' menu","","C4227658","","","","1s","","","Y","help.feature"," 1","","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1793","Help","","R15070","Help UI","0","","Draft","Passed","This TC verifies that the help drop down menu opens a list of options

","","Automation User","3/29/2019 5:32 PM",""
"T4470535","Verify that Help links open Confluence help section","","C4227659","","","","3s","","","Y","help.feature"," 1","Daniel Martinez","All automation (e2e + regression) on qa-long","R15067","Medium","ZING-1794","Help","","R15070","Help UI","0","","Draft","Passed","Verifies that the help drop down menu opens Confluence","","Automation User","3/29/2019 5:32 PM",""
