Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Outward issue link (Cloners),Outward issue link (Relates),Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Deployed to Prod),Custom field (Impact to User),Custom field (Patch Description),Custom field (QA Feature),Custom field (QA Status),Custom field (Question Details),Custom field (Rank),Custom field (Severity),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Tester),Custom field (Ticket Health),Custom field (Triaged By),Custom field (ZaaS Rank),Comment,Comment,Comment
Verify that an Threshold triggers an Event on a Local Template that reflects on SmartView,ZING-2907,67240,,Story,Open,ZING,ZING,software,ian,,,,dmorua,dmorua,28/Mar/19 12:17 PM,28/Mar/19 12:17 PM,28/Mar/19 12:29 PM,,,,,0,e2e,,,http://testrail.zenoss.loc/index.php?/cases/view/6059292,,dmorua,,,,,,,,,,,,,,QA needed,,0|w00eo8:,3,,,,Ticket Healthy,,0|i08m9b:,,,
Verify that en empty DataSource on a Local Template reflects to SmartView,ZING-2906,67239,,Story,Open,ZING,ZING,software,ian,,,,dmorua,dmorua,28/Mar/19 12:16 PM,28/Mar/19 12:16 PM,28/Mar/19 12:29 PM,,,,,0,e2e,,,http://testrail.zenoss.loc/index.php?/cases/view/6059290,,dmorua,,,,,,,,,,,,,,QA needed,,0|w00eo0:,3,,,,Ticket Healthy,,0|i08m93:,,,
Verify that removing a DataSource on a Local Template reflects to SmartView,ZING-2905,67238,,Story,Open,ZING,ZING,software,ian,,,,dmorua,dmorua,28/Mar/19 12:16 PM,28/Mar/19 12:16 PM,28/Mar/19 12:29 PM,,,,,0,e2e,,,http://testrail.zenoss.loc/index.php?/cases/view/6059289,,dmorua,,,,,,,,,,,,,,QA needed,,0|w00ens:,3,,,,Ticket Healthy,,0|i08m8v:,,,
Verify that removing a Monitoring Template reflects to SmartView,ZING-2904,67237,,Story,Open,ZING,ZING,software,ian,,,,dmorua,dmorua,28/Mar/19 12:15 PM,28/Mar/19 12:15 PM,28/Mar/19 12:29 PM,,,,,0,e2e,,,http://testrail.zenoss.loc/index.php?/cases/view/6059288,,dmorua,,,,,,,,,,,,,,QA needed,,0|w00enk:,3,,,,Ticket Healthy,,0|i08m8n:,,,
Verify that adding a Monitoring Template reflects to SmartView on the metrics section,ZING-2903,67236,,Story,Open,ZING,ZING,software,ian,,,,dmorua,dmorua,28/Mar/19 12:13 PM,28/Mar/19 12:14 PM,28/Mar/19 12:30 PM,,,,,0,e2e,,,http://testrail.zenoss.loc/index.php?/cases/view/6059287,,dmorua,,,,,,,,,,,,,,QA needed,,0|w00enc:,3,,,,Ticket Healthy,,0|i08m8f:,,,
Verify Smart View related entity metrics do not disappear on shuffle,ZING-2896,67219,,Story,Open,ZING,ZING,software,ian,,,,sgonzalez,sgonzalez,27/Mar/19 1:28 PM,27/Mar/19 1:28 PM,27/Mar/19 1:28 PM,,,,,0,e2e,,,TR: https://testrail.zenoss.com/index.php?/cases/view/5689456,,sgonzalez,,,,,,,,,,,,,,QA needed,,0|u00152:,3,,,,Ticket Healthy,,0|i08m4n:,,,
Verify that Event Summary matches both in CZ and SmartView,ZING-2895,67218,,Story,Open,ZING,ZING,software,ian,,,,sgonzalez,sgonzalez,27/Mar/19 1:21 PM,27/Mar/19 1:21 PM,27/Mar/19 1:21 PM,,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/6059277,,sgonzalez,,,,,,,,,,,,,,QA needed,,0|w00ejs:,3,,,,Ticket Healthy,,0|i08m4f:,,,
Verify that Event Timestamp matches both in CZ and SmartView,ZING-2894,67217,,Story,Open,ZING,ZING,software,ian,,,,sgonzalez,sgonzalez,27/Mar/19 1:19 PM,27/Mar/19 1:19 PM,27/Mar/19 1:19 PM,,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/6059278,,sgonzalez,,,,,,,,,,,,,,QA needed,,0|w00ejk:,3,,,,Ticket Healthy,,0|i08m47:,,,
Verify that Event Severity matches both in CZ and SmartView,ZING-2893,67216,,Story,Open,ZING,ZING,software,ian,,,,sgonzalez,sgonzalez,27/Mar/19 1:17 PM,27/Mar/19 1:17 PM,27/Mar/19 1:18 PM,,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/6059279,,sgonzalez,,,,,,,,,,,,,,QA needed,,0|w00ejc:,3,,,,Ticket Healthy,,0|i08m3z:,,,
Verify expand/collapse anchors in SmartView,ZING-2892,67215,,Story,Open,ZING,ZING,software,ian,,,,sgonzalez,sgonzalez,27/Mar/19 1:12 PM,27/Mar/19 1:13 PM,27/Mar/19 1:13 PM,,,,,0,e2e,,,TR: https://testrail.zenoss.com/index.php?/cases/view/6059281,,sgonzalez,,,,,,ZING-2292,,,,,,,,QA needed,,0|w00ej4:,3,,,,Ticket Healthy,,0|i08m3r:,,,
Handle events on CZ by API/CLI ,ZING-2891,67212,,Story,Test Stack,ZING,ZING,software,ian,,,sgonzalez,sgonzalez,sgonzalez,27/Mar/19 12:30 PM,29/Mar/19 5:03 PM,29/Mar/19 5:03 PM,,,,,0,e2e,,,"The idea is looking for some strategy to interact with events easier by API or CLI.

These TCs could help:
 [http://testrail.zenoss.loc/index.php?/cases/view/27997]

[http://testrail.zenoss.loc/index.php?/cases/view/28021]

 
{code:java}
curl -k -X POST -H z-api-key:iwVW1XJ82dsgPsSwzqY00_9mWfo8sbL1I6ToaBNeBzDXV -H Content-Type:application/json -d '{""action"":""EventsRouter"",""method"":""add_event"",""data"":[{""summary"":""EventTest"",""device"":""anomaly-generator.zenoss.lab"",""component"":"""",""severity"":2,""evclasskey"":"""",""evclass"":""/App"",""monitor"":""zenoss-collector""}],""type"":""rpc"",""tid"":26}' https://qa-long.zenoss.io/cz0/zport/dmd/Events/evconsole_router{code}
 ",,sgonzalez,,,,,,,,,,,,,,QA automated,,0|w00eig:,3,,3,,Ticket Healthy,,0|i08m33:,,,
ZING Tag Smoke TCs,ZING-2876,67178,,Story,Open,ZING,ZING,software,ian,,,,dmorua,dmorua,26/Mar/19 10:28 AM,26/Mar/19 10:29 AM,27/Mar/19 1:14 PM,,,,,0,e2e,,,"Add a tag on the TCs displayed on ZDA Doc -> https://docs.google.com/spreadsheets/d/1bvhReAtn6ysPoeGpD99xJTbfj4-GihiO0fIvGcsbG0k/edit#gid=2037944910

Document here -> 

https://github.com/zenoss/zing-e2e/wiki/Development-Considerations",,dmorua,,,,,,,,,TCs tagged,,,,,QA needed,,0|w00eb4:,3,,,,Ticket Healthy,,0|i08lvj:,,,
Add anomaly device on scenarios related to it,ZING-2875,67177,,Story,Ranked,ZING,ZING,software,ian,,,sgonzalez,sgonzalez,sgonzalez,26/Mar/19 10:20 AM,26/Mar/19 4:00 PM,27/Mar/19 12:49 PM,,,,,0,e2e,,,Change all the scenarios that verifying anomalies or confidence bands to a device always is generating anomalies (10.88.121.87 - anomaly-generator.zenoss.lab),,sgonzalez,,,,,,,,,,,,,,QA needed,,0|w00eaw:,3,,,sgonzalez,Ticket Healthy,,0|i08lvb:,,,
"e2e test jobs hang after ""unhandled promise rejection""",ZING-2826,67022,,Story,Backlog,ZING,ZING,software,ian,,,,gjones,gjones,22/Mar/19 1:48 PM,22/Mar/19 4:10 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"Multiple times on Mar 20 and 21, we observed {{e2e-tester}} jobs which hung for hours after errors like:

{code}
job 402
 ✔ Wait for header bar button on SmartView page.
(node:1) UnhandledPromiseRejectionWarning: 
    at Promise (/home/node/page_objects/sections/subNav.js:95:28)
    at <anonymous>
    at process._tickCallback (internal/process/next_tick.js:189:7)
(node:1) UnhandledPromiseRejectionWarning: Unhandled promise rejection. This error originated either by throwing inside of an async function without a catch block, or by rejecting a promise which was not handled with .catch(). (rejection id: 1)
(node:1) [DEP0018] DeprecationWarning: Unhandled promise rejections are deprecated. In the future, promise rejections that are not handled will terminate the Node.js process with a non-zero exit code.
{code}",,gjones,,,,,,ZING-2825,,,,,,,,QA needed,,0|w00ds8:,3,,,,Ticket Healthy,,0|i08lcf:,,,
Change the header selector,ZING-2822,67015,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,22/Mar/19 12:38 PM,27/Mar/19 12:19 PM,27/Mar/19 12:19 PM,27/Mar/19 12:19 PM,,,,0,e2e,,,"The header button CSS selector that is throwing 2 matches:

!ZING-2822_1.png|thumbnail! !ZING-2822_2.png|thumbnail!

 

The last 3 jobs have been hanging, in a way that blocks all updates to zing-testing.",,sgonzalez,,,,,,,22/Mar/19 12:39 PM;sgonzalez;ZING-2822_1.png;https://jira.zenoss.com/secure/attachment/60694/ZING-2822_1.png,22/Mar/19 12:39 PM;sgonzalez;ZING-2822_2.png;https://jira.zenoss.com/secure/attachment/60695/ZING-2822_2.png,,27/Mar/19 12:19 PM,,,,QA needed,,0|w00dqo:,3,,,sgonzalez,Ticket Healthy,,0|i08lav:,22/Mar/19 12:41 PM;sgonzalez;Changing `.z-ctx-bar button` by `.z-ctx-bar .v-btn--small` (page_objects/sections/subNav.js) and removing promises to avoid blocks.,,
Verify that user is re authenticated(silent) when authToken expires,ZING-2778,66870,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,15/Mar/19 12:19 PM,27/Mar/19 12:22 PM,27/Mar/19 12:22 PM,27/Mar/19 12:22 PM,,,,0,e2e,,,TR: https://testrail.zenoss.com/index.php?/cases/view/4930753,,sgonzalez,,,,,,,,,,27/Mar/19 12:22 PM,,,,QA automated,,0|u0014z:,3,,2,,Ticket Healthy,,0|i08ken:,,,
Verify Pendo cookie data contains valid information,ZING-2763,66850,,Story,Ranked,ZING,ZING,software,ian,,,ymatviikiv,sgonzalez,sgonzalez,14/Mar/19 4:50 PM,14/Mar/19 5:03 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,More info in TR: https://testrail.zenoss.com/index.php?/cases/view/5990324,,sgonzalez,,,,,,,,,,,,,,QA needed,,0|u0014y:,3,,,,Ticket Healthy,,0|i08ka7:,,,
Add an anomaly device to NW automation,ZING-2743,66806,,Story,Open,ZING,ZING,software,ian,,,sgonzalez,sgonzalez,sgonzalez,13/Mar/19 1:01 PM,13/Mar/19 1:01 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"Add a device with an anomalies generation script (constantly), then, associate it to all the NW features/TCs that verifying or doing something with anomalies.",,sgonzalez,,,,,,,,,,,,,,QA needed,,0|w007zo:,3,,,,Ticket Healthy,,0|i08k0f:,,,
Research API Client Key management functionality,ZING-2742,66803,,Story,Ranked,ZING,ZING,software,ian,,,dmorua,sgonzalez,sgonzalez,13/Mar/19 12:14 PM,19/Mar/19 2:47 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"Testing more the API Client Key functionality, create more TCs about it",,sgonzalez,,,,,,,,,,,,,,QA needed,,0|w008n0:,3,,1,dmorua,Ticket Healthy,sgonzalez,0|i08jzr:,,,
Add new html tags on API Client ,ZING-2561,66215,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,26/Feb/19 10:23 AM,01/Mar/19 8:54 AM,30/Mar/19 9:25 PM,01/Mar/19 8:54 AM,,,,0,e2e,,,"These changes are only for automation purposes, to improve the performance when it is looking for some element.",,sgonzalez,,,,,,,,,,01/Mar/19 8:54 AM,,,,QA automated,,0|w009hc:,3,,1,sgonzalez,Ticket Healthy,,0|i08gxr:,,,
Add TR ids to scenarios,ZING-2519,66118,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,22/Feb/19 8:29 PM,28/Feb/19 11:44 AM,30/Mar/19 9:25 PM,28/Feb/19 11:44 AM,,,,0,e2e,,,Add TR id to scenarios for tracking,,rserrano,,,,,,,,,,28/Feb/19 11:44 AM,,,,QA not applicable,,0|w0091s:,3,,,,Ticket Healthy,,0|i08ghj:,,,
Verify Metrics name reflected on SmartView match the ones on graphs definition (SSH Linux),ZING-2490,66048,,Story,In Progress,ZING,ZING,software,ian,,,dmorua,dmorua,dmorua,21/Feb/19 11:50 AM,27/Mar/19 12:31 PM,30/Mar/19 9:20 PM,,,,,0,e2e,,,"[http://testrail.zenoss.loc/index.php?/cases/view/5959548]

 ",,dmorua,,,,,,,,,Automated TC,,,,,QA needed,,0|w008mw:,3,,3,,Ticket Healthy,sgonzalez,0|i08g1z:,,,
Research/Add firefox support to NW framework,ZING-2484,66028,,Story,Backlog,ZING,ZING,software,ian,,,dmorua,rserrano,rserrano,20/Feb/19 3:03 PM,20/Feb/19 3:03 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,Implement in FW,,rserrano,,,,,,,,,,,,,,QA needed,,0|u00150:,3,,1,,Ticket Healthy,rserrano,0|i08fxj:,,,
Research create/delete API clients via API,ZING-2483,66024,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,20/Feb/19 2:41 PM,13/Mar/19 12:08 PM,30/Mar/19 9:25 PM,13/Mar/19 12:08 PM,,,,0,e2e,,,Research create/delete API clients via API,,rserrano,,,,,,,,,,13/Mar/19 12:08 PM,,,,QA automated,,0|w0086k:,3,,3,,Ticket Healthy,rserrano,0|i08fwv:,,,
